,Landmark Name,Category,Province & District,GPS Coordinates,Description,History,Built By / Founder,Year Built / Historical Period,Cultural/Religious Significance,Main Attractions,Opening Hours,Average Visit Duration:,Ticket Price (Foreign),Best Time to Visit,Nearby Attractions,Nearby Hotels,Nearby Restaurants, 
204,Gangaramaya Seema Malaka,Temple / Religious Site,Western Province – Colombo District,"6.9150° N, 79.8575° E",Seema Malaka is a peaceful Buddhist meditation and ceremonial centre located on Beira Lake near Gangaramaya Temple. It is known for its elegant floating pavilion design.,"Seema Malaka was designed by renowned architect Geoffrey Bawa and opened in 1979. It serves as a place for Buddhist ceremonies, especially the ordination of monks, and was built as part of the Gangaramaya Temple complex.",Designed by Geoffrey Bawa; Gangaramaya Temple,Opened in 1979,Buddhist meditation centre located on Beira Lake.,"Floating temple, lake views, Buddha statues, peaceful surroundings.",6:00 AM – 10:00 PM,30–60 minutes,Donation,November–April; sunset,"Gangaramaya Temple, Beira Lake, Lotus Tower, Galle Face Green, National Museum","Cinnamon Grand, Shangri-La Colombo, Hilton Colombo, Galle Face Hotel, Mövenpick Colombo","Ministry of Crab, Nihonbashi, Upali’s, Nuga Gama, The Gallery Cafe",
205,Diyatha Uyana,Urban Park / Waterfront Park,Western Province – Colombo District,"6.9050° N, 79.9100° E","Diyatha Uyana is a scenic urban waterfront park located near Sri Jayawardenepura Kotte. It features walking paths, gardens, food stalls, and views of the Diyawanna Oya wetland.",The park was opened in 2012 as part of urban beautification and wetland conservation projects. It was developed on previously underused land near the Sri Lankan Parliament area.,Urban Development Authority,Opened in 2012,Recreational wetland park promoting urban environmental conservation.,"Floating market, walking paths, lake views, food stalls, gardens.",7:00 AM – 10:00 PM,1–2 hours,Free,November–April; evening,"Parliament of Sri Lanka, Beddagana Wetland Park, Diyasaru Park, Ape Gama, Independence Square","Hilton Colombo, Cinnamon Grand, Shangri-La Colombo, Mövenpick, Galle Face Hotel","Ministry of Crab, Upali’s, Nuga Gama, The Gallery Cafe, local food stalls",
206,Parliament of Sri Lanka,Government Building / Landmark,Western Province – Colombo District,"6.8910° N, 79.9180° E","The Parliament of Sri Lanka is the country’s legislative building located on an island in Diyawanna Oya, Sri Jayawardenepura Kotte. It is famous for its unique architecture surrounded by water.",The Parliament complex was designed by architect Geoffrey Bawa and opened in 1982 when the administrative capital moved from Colombo to Sri Jayawardenepura Kotte. It represents Sri Lanka’s modern political development.,Designed by Geoffrey Bawa,Opened in 1982,Seat of Sri Lanka’s legislature and modern architectural landmark.,"Island setting, Japanese-inspired architecture, lake views.",Exterior viewing; guided visits vary,30–60 minutes,Free/permission required,November–April; morning,"Diyatha Uyana, Beddagana Wetland Park, Diyasaru Park, Ape Gama, Kelani Bridge","Hilton Colombo, Cinnamon Grand, Shangri-La Colombo, Mövenpick, Galle Face Hotel","Ministry of Crab, Upali’s, Nuga Gama, The Gallery Cafe, local restaurants",
207,Ape Gama,Cultural Village / Heritage Site,Western Province – Colombo District,"6.8915° N, 79.9185° E","Ape Gama is a cultural village near the Parliament area showcasing traditional Sri Lankan village life, crafts, agriculture, and customs. It provides visitors with an educational cultural experience.",Ape Gama was established as a cultural preservation project to display traditional lifestyles and heritage practices. It was developed in the modern era to promote awareness of Sri Lanka’s rural culture.,Government cultural village project,Opened in 2009,Showcases traditional Sri Lankan village lifestyle and heritage.,"Traditional houses, crafts, demonstrations, cultural activities.",9:00 AM – 5:00 PM,1–2 hours,Approx. USD 3–5,November–April; morning,"Parliament, Diyatha Uyana, Diyasaru Park, Beddagana Wetland Park, Independence Square","Hilton Colombo, Cinnamon Grand, Shangri-La, Mövenpick, Galle Face Hotel","Local Sri Lankan restaurants, Nuga Gama, Upali’s, Gallery Cafe, Colombo cafes",
208,Kelani Bridge,Bridge,Western Province – Colombo District,"6.9567° N, 79.8783° E","Kelani Bridge is a major bridge crossing the Kelani River, connecting Colombo with northern and eastern routes. It is an important transportation landmark in the western province.","The Kelani River has been historically important for trade and settlement development around Colombo. Several bridges have existed at this location, with modern versions built to support increasing transport needs.",British colonial administration,First bridge built 1829; modern bridges later,Important transportation landmark connecting Colombo and Kelaniya.,"River views, bridge architecture, city photography.",Open access,Free,Year-round; evening,"Kelaniya Temple, Colombo Fort, St Lucia’s Cathedral, Dutch Hospital, Port City","Hilton Colombo, Cinnamon Grand, Shangri-La, Pegasus Reef Hotel, Galle Face Hotel","Ministry of Crab, Upali’s, local Kelaniya restaurants, Nihonbashi, The Gallery Cafe",,
209,Attidiya Bird Sanctuary,Bird Sanctuary / Wetland,Western Province – Colombo District,"6.8167° N, 79.8833° E","Attidiya Bird Sanctuary is an urban wetland area near Colombo famous for migratory birds, butterflies, and aquatic wildlife. It is a valuable natural refuge close to the city.",The sanctuary was declared a protected area in 1990 to conserve wetland biodiversity. It forms part of the Bolgoda wetland system and plays an important role in protecting urban wildlife habitats.,Department of Wildlife Conservation,Declared protected wetland area in 1990,Important urban wetland supporting bird and wildlife conservation.,"Bird watching, wetlands, butterflies, nature trails.",6:00 AM – 6:00 PM,1–2 hours,Free,November–April; early morning,"Beddagana Wetland Park, Diyasaru Park, Mount Lavinia Beach, Dehiwala Zoo, Colombo","Mount Lavinia Hotel, Berjaya Colombo, Hilton Colombo, Cinnamon Grand, Shangri-La Colombo","The Shore by O, Lavinia Breeze, seafood restaurants, Colombo cafes, local restaurants",
210,Bolgoda Lake,Lake / Wetland,Western Province – Colombo District,"6.7500° N, 79.9500° E","Bolgoda Lake is Sri Lanka’s largest freshwater lake system, known for boating, fishing, birdlife, and scenic surroundings. It is a popular recreational and eco-tourism destination near Colombo.","Bolgoda Lake has supported fishing communities and traditional livelihoods for centuries. In modern times, conservation efforts have focused on protecting its wetland ecosystem from urban development pressures.",Natural freshwater lake system,Natural formation,Largest freshwater lake in Sri Lanka and popular eco-tourism destination.,"Boat rides, fishing, bird watching, kayaking, sunsets.",7:00 AM – 6:00 PM,2–4 hours,Boat fees apply,November–April; morning/evening,"Piliyandala, Panadura Beach, Kalutara Bodhiya, Mount Lavinia, Colombo","Bolgoda Lake Resort, Water Front Hotel, Mount Lavinia Hotel, Cinnamon Grand, Hilton Colombo","Bolgoda Lake restaurants, seafood restaurants, local cafes, The Shore by O, Colombo restaurants",
211,Panadura Beach,Beach,Western Province – Kalutara District,"6.7133° N, 79.9075° E","Panadura Beach is a coastal attraction near Colombo known for its sandy shoreline, sunsets, and relaxing seaside atmosphere. It is popular among locals for evening walks and leisure activities.",Panadura has a long history as a coastal settlement connected with fishing and trade. The area became more developed during the colonial period due to its location along the western coastal route.,Natural coastal area,Natural formation,Popular west coast beach known for fishing and coastal recreation.,"Beach walks, sunsets, fishing boats, photography.",Open access,1–3 hours,Free,November–April; evening,"Bolgoda Lake, Kalutara Bodhiya, Mount Lavinia Beach, Moratuwa Lake, Colombo","Mount Lavinia Hotel, Berjaya Hotel Colombo, Bolgoda Lake Resort, Cinnamon Grand, Hilton Colombo","Seafood restaurants, The Shore by O, local Panadura restaurants, cafes, beach restaurants",
212,Moratuwa Lake,Lake,Western Province – Colombo District,"6.7733° N, 79.8817° E","Moratuwa Lake is a scenic wetland area surrounded by waterways, mangroves, and local communities. It provides opportunities for boating, fishing, and observing aquatic ecosystems.",The lake has traditionally supported fishing and boat-based livelihoods in Moratuwa. Its wetlands form part of the interconnected coastal water systems of western Sri Lanka.,Natural lagoon/wetland system,Natural formation,Important urban wetland supporting fishing and biodiversity.,"Boat rides, bird watching, mangroves, lake scenery.",Daylight hours,1–2 hours,Boat fees apply,November–April; morning,"Bolgoda Lake, Panadura Beach, Piliyandala, Mount Lavinia, Colombo","Mount Lavinia Hotel, Berjaya Colombo, Bolgoda Lake Resort, Hilton Colombo, Cinnamon Grand","Seafood restaurants, local Moratuwa restaurants, The Shore by O, Colombo cafes, hotel restaurants",
213,Piliyandala Lake,Lake,Western Province – Colombo District,"6.8000° N, 79.9167° E","Piliyandala Lake is a peaceful freshwater wetland area near Colombo, known for birdlife, greenery, and local recreational activities. It offers a quiet natural environment close to urban areas.",The lake has historically supported agriculture and village communities in the area. Modern conservation interest has increased due to the importance of protecting urban freshwater ecosystems.,Natural wetland,Natural formation,Scenic freshwater lake used for recreation and local fishing.,"Bird watching, boating, photography, village scenery.",Daylight hours,1–2 hours,Free/boat fees,November–April; morning,"Bolgoda Lake, Beddagana Wetland Park, Diyasaru Park, Colombo, Panadura Beach","Bolgoda Lake Resort, Mount Lavinia Hotel, Hilton Colombo, Cinnamon Grand, Berjaya Colombo","Local Piliyandala restaurants, seafood restaurants, Colombo cafes, hotel restaurants, food courts",
214,Ruwanwella Fort,Fort / Historical Site,Sabaragamuwa Province – Kegalle District,"7.0500° N, 80.2500° E","Ruwanwella Fort is a historic military site located near the Kelani River, associated with colonial-era defence activities. Although only limited remains exist today, it reflects the strategic importance of the region.",The fort was built during the Portuguese period and later used by the Dutch and British to control routes between the lowlands and central highlands. Its location was important for military movement and trade protection.,Portuguese/Dutch colonial powers,17th century colonial period,Historic fort site connected with colonial defence routes.,"Fort remains, river surroundings, historical exploration.",Daylight hours,30–60 minutes,Free,January–April; morning,"Sitawaka Kingdom, Seethawaka Wet Zone, Avissawella, Bopath Ella, Belilena Cave","Seethawaka Regency, Avissawella hotels, Kithulgala hotels, Heritage Hotel Kandy, local guesthouses","Local Avissawella restaurants, Kithulgala cafes, hotel restaurants, village food outlets, tea shops",
215,Uthuwankanda Mountain,Mountain / Historical Site,Sabaragamuwa Province – Kegalle District,"7.2500° N, 80.4667° E","Uthuwankanda Mountain is a scenic rocky hill near Mawanella known for hiking, forests, and panoramic views. It is also associated with the legendary outlaw Saradiel.","During the British colonial period, Uthuwankanda became famous as the hideout of Saradiel, a Robin Hood-like figure who resisted colonial authorities in the 19th century. The mountain remains linked with local folklore and history.",Natural mountain formation,Geological formation,Historic mountain associated with folklore and legendary figures.,"Hiking, viewpoints, forest scenery, photography.",Daylight hours,2–3 hours,Free,January–April; morning,"Mawanella, Alagalla Mountain, Ambuluwawa, Kadugannawa, Pinnawala","Hotel Elephant Park, The Grand Kandyan, Earl’s Regency, Amaya Hills, local Mawanella hotels","Balaji Dosai, Cafe Aroma Inn, Kandy restaurants, local Mawanella restaurants, hotel dining",
216,Sabaragamuwa University Area,Educational Site / Scenic Area,Sabaragamuwa Province – Ratnapura District,"6.7333° N, 80.7833° E","The Sabaragamuwa University area is surrounded by beautiful hills, rivers, forests, and rural landscapes near Belihuloya. It is known for its natural environment and academic setting.","Sabaragamuwa University was established in 1996 and developed in the central highlands region. The area has historical connections with traditional villages, agriculture, and the natural heritage of Sabaragamuwa Province.",Sabaragamuwa University of Sri Lanka,Established in 1996,Educational and scenic highland area surrounded by natural landscapes.,"Campus views, mountain scenery, Belihuloya environment, hiking areas.",Daylight hours,1–2 hours,Free,January–April; morning,"Belihuloya, Pahanthudawa Falls, Horton Plains, Bambarakanda Falls, Samanalawewa","River Garden Resort, Samanala Resort, Kumbuk Sevena, local eco lodges, Belihuloya Rest House","River Garden Restaurant, local Belihuloya restaurants, eco lodge restaurants, cafes, village food stalls",
